State,COVID-19 Deaths,Age Group,Population,COVID-19 Deaths per Million
Idaho,0,Under 1 year,22348,0
Illinois,0,1-4 years,612996,0
Illinois,0,15-24 years,1675707,0
Illinois,51,25-34 years,1769781,28.82
Illinois,139,35-44 years,1639725,84.77
Illinois,368,45-54 years,1639850,224.41
Illinois,0,5-14 years,1597250,0
Illinois,808,55-64 years,1665187,485.23
Illinois,1366,65-74 years,1142253,1195.88
Illinois,1585,75-84 years,584034,2713.88
Illinois,1961,85 years and over,266674,7353.55
Illinois,0,Under 1 year,147623,0
Indiana,0,1-4 years,338005,0
Indiana,0,15-24 years,926867,0
Indiana,0,25-34 years,877438,0
Indiana,11,35-44 years,822202,13.38
Indiana,74,45-54 years,839824,88.11
Indiana,0,5-14 years,878696,0
Indiana,249,55-64 years,873286,285.13
Indiana,538,65-74 years,615581,873.97
Indiana,714,75-84 years,308630,2313.45
Indiana,905,85 years and over,130810,6918.43
Indiana,0,Under 1 year,80539,0
Iowa,0,1-4 years,159927,0
Iowa,0,15-24 years,441900,0
Iowa,0,25-34 years,397715,0
Iowa,0,35-44 years,379935,0
Iowa,14,45-54 years,371331,37.7
Iowa,0,5-14 years,409679,0
Iowa,77,55-64 years,417537,184.41
Iowa,145,65-74 years,300873,481.93
Iowa,144,75-84 years,159866,900.75
Iowa,232,85 years and over,79091,2933.33
Iowa,0,Under 1 year,38291,0
Kansas,0,1-4 years,152896,0
Kansas,0,15-24 years,413294,0
Kansas,0,25-34 years,382884,0
Kansas,0,35-44 years,356322,0
Kansas,0,45-54 years,335937,0
Kansas,0,5-14 years,398067,0
Kansas,39,55-64 years,373425,104.44
Kansas,45,65-74 years,262857,171.2
Kansas,52,75-84 years,133848,388.5
Kansas,94,85 years and over,65536,1434.33
Kansas,0,Under 1 year,36439,0
Kentucky,0,1-4 years,221855,0
Kentucky,0,15-24 years,588635,0
Kentucky,0,25-34 years,585107,0
Kentucky,0,35-44 years,551949,0
Kentucky,0,45-54 years,576814,0
Kentucky,0,5-14 years,562514,0
Kentucky,54,55-64 years,597345,90.4
Kentucky,124,65-74 years,435205,284.92
Kentucky,135,75-84 years,214803,628.48
Kentucky,209,85 years and over,80618,2592.47
Kentucky,0,Under 1 year,53557,0
Louisiana,0,1-4 years,247264,0
Louisiana,0,15-24 years,605321,0
Louisiana,14,25-34 years,667182,20.98
Louisiana,61,35-44 years,583526,104.54
Louisiana,148,45-54 years,563306,262.73
Louisiana,0,5-14 years,608925,0
Louisiana,395,55-64 years,606266,651.53
Louisiana,645,65-74 years,427946,1507.2
Louisiana,836,75-84 years,209437,3991.65
Louisiana,757,85 years and over,81050,9339.91
Louisiana,0,Under 1 year,59755,0
Maine,0,1-4 years,51873,0
Maine,0,15-24 years,152415,0
Maine,0,25-34 years,160340,0
Maine,0,35-44 years,152383,0
Maine,0,45-54 years,180173,0
Maine,0,5-14 years,140831,0
Maine,0,55-64 years,211981,0
Maine,17,65-74 years,163367,104.06
Maine,32,75-84 years,79213,403.97
Maine,44,85 years and over,33419,1316.62
Maine,0,Under 1 year,12409,0
Maryland,0,1-4 years,293661,0
Maryland,0,15-24 years,758054,0
Maryland,29,25-34 years,834612,34.75
Maryland,63,35-44 years,773801,81.42
Maryland,152,45-54 years,818927,185.61
Maryland,0,5-14 years,748950,0
Maryland,409,55-64 years,812734,503.24
Maryland,650,65-74 years,545452,1191.67
Maryland,928,75-84 years,267281,3472
Maryland,1111,85 years and over,118403,9383.21
Maryland,0,Under 1 year,70843,0
Massachusetts,0,1-4 years,289374,0
Massachusetts,0,15-24 years,949473,0
Massachusetts,0,25-34 years,992913,0
Massachusetts,27,35-44 years,840652,32.12
Massachusetts,139,45-54 years,921531,150.84
Massachusetts,0,5-14 years,759152,0
Massachusetts,498,55-64 years,939167,530.26
Massachusetts,1148,65-74 years,653829,1755.81
Massachusetts,2087,75-84 years,325419,6413.27
Massachusetts,3613,85 years and over,159852,22602.16
Massachusetts,0,Under 1 year,70787,0
Michigan,0,1-4 years,461862,0
Michigan,0,15-24 years,1348374,0
Michigan,36,25-34 years,1296651,27.76
Michigan,78,35-44 years,1163189,67.06
Michigan,302,45-54 years,1290060,234.1
