state,date,latest_date,total_cases,total_deaths
Tennessee,2020-05-31,2020-05-19,287122,4802
Texas,2020-02-29,2020-02-29,91,0
Texas,2020-03-31,2020-03-31,20623,269
Texas,2020-04-30,2020-04-30,494349,12274
Texas,2020-05-31,2020-05-19,767322,21263
Utah,2020-02-29,2020-02-29,5,0
Utah,2020-03-31,2020-03-31,5552,19
Utah,2020-04-30,2020-04-30,82310,718
Utah,2020-05-31,2020-05-19,117714,1261
Vermont,2020-03-31,2020-03-31,1991,92
Vermont,2020-04-30,2020-04-30,21171,958
Vermont,2020-05-31,2020-05-19,17466,999
Virgin Islands,2020-03-31,2020-03-31,230,0
Virgin Islands,2020-04-30,2020-04-30,1509,57
Virgin Islands,2020-05-31,2020-05-19,1289,93
Virginia,2020-03-31,2020-03-31,6941,102
Virginia,2020-04-30,2020-04-30,223916,7019
Virginia,2020-05-31,2020-05-19,461953,15880
Washington,2020-01-31,2020-01-31,11,0
Washington,2020-02-29,2020-02-29,60,1
Washington,2020-03-31,2020-03-31,45132,2377
Washington,2020-04-30,2020-04-30,324068,16938
Washington,2020-05-31,2020-05-19,337840,17772
West Virginia,2020-03-31,2020-03-31,866,3
West Virginia,2020-04-30,2020-04-30,21315,514
West Virginia,2020-05-31,2020-05-19,25624,1076
Wisconsin,2020-02-29,2020-02-29,25,0
Wisconsin,2020-03-31,2020-03-31,9353,135
Wisconsin,2020-04-30,2020-04-30,118741,5402
Wisconsin,2020-05-31,2020-05-19,193338,7570
Wyoming,2020-03-31,2020-03-31,776,0
Wyoming,2020-04-30,2020-04-30,10950,82
Wyoming,2020-05-31,2020-05-19,12642,140
